tID,Name,Surname,CityDistrict,Birthdate,Gender,Subject,Pesel
296,David,Logan,Wrzeszcz,1988-03-16,Male,French,88031621309
297,Melanie,Lopez,Redlowo,1988-08-22,Female,Chemistry,88082298064
299,Mark,Lewis,Orlowo,1975-02-04,Male,Philosophy,75020471821
300,Kaitlyn,Ruiz,Redlowo,1982-05-15,Female,Art,82051593408
301,Jason,Washington,Redlowo,1991-03-08,Male,Psychology,91030824203
304,James,Fuller,Reda,1959-09-14,Male,History,59091409519
305,Jasmine,Contreras,Jasien,1981-08-21,Female,Ethics,81082138434
306,Holly,West,Orlowo,1963-10-21,Female,Geography,63102167364
308,Elizabeth,Jacobs,Przymorze,1976-08-25,Female,Ethics,76082502938
309,Teresa,Lopez,Gdynia centrum,1992-09-02,Female,Polish,92090207098
310,Meredith,Schneider,Gdynia centrum,1968-09-26,Female,Art,68092699330
311,Charles,Bishop,Orunia,1972-07-28,Male,Biology,72072873839
314,Maria,Cisneros,Orlowo,1977-08-20,Female,Physics,77082037846
315,George,Rodgers,Gdansk centrum,1959-02-24,Male,Ethics,59022424059
316,Mackenzie,Nielsen,Redlowo,1978-07-03,Female,Biology,78070391036
318,Lori,Herrera,Jasien,1995-02-27,Female,French,95022772818
319,Ronald,Sanchez,Orunia,1998-10-28,Male,French,98102882147
320,Jessica,Haney,Stocznia,1985-10-15,Female,Economics,85101597542
323,Karl,Robinson,Orlowo,1981-04-21,Male,Geography,81042157429
324,Michael,Hughes,Gdynia centrum,1983-01-14,Male,Physics,83011468461
326,Michael,Jones,Lostowice,1984-09-20,Male,French,84092011291
328,Laurie,Horne,Redlowo,1974-10-26,Female,Philosophy,74102611638
329,Thomas,Sherman,Lostowice,1972-02-25,Male,Mathematics,72022511495
330,Jessica,Martinez,Reda,1996-01-08,Female,Sociology,96010872294
332,Lauren,Levine,Zaspa,1986-11-26,Female,Psychology,86112630762
335,Michael,Cherry,Jasien,1996-12-14,Male,Geography,96121436203
337,Pamela,Shaw,Zaspa,1979-06-15,Female,English,79061503952
338,Lee,Price,Wejherowo,1979-10-30,Male,Chemistry,79103022749
341,Denise,Sanchez,Lostowice,1959-04-29,Female,Geography,59042951520
342,Jessica,White,Gdansk centrum,1983-10-23,Female,Physics,83102374406
343,Olivia,Ortiz,Gdynia centrum,1964-10-17,Female,Informatics,64101794468
345,John,White,Lostowice,1968-05-01,Male,Philosophy,68050125675
346,Michael,Hill,Orlowo,1982-03-14,Male,Economics,82031492395
348,Luis,Lopez,Gdansk centrum,1982-11-23,Other,Religion,82112360762
349,Katherine,Sanchez,Orunia,1980-12-21,Female,Economics,80122123294
350,Eric,Robinson,Redlowo,1983-12-07,Male,Ethics,83120711213
351,Brandon,Mckinney,Przymorze,1960-04-16,Male,History,60041602581
353,Melissa,Hoover,Gdansk centrum,1965-05-30,Other,Philosophy,65053030290
354,Deborah,Smith,Wejherowo,1995-11-24,Female,Art,95112459504
355,Ronald,Parsons,Przymorze,1991-08-04,Male,PE,91080451651
356,Michael,Williams,Zaspa,1997-06-15,Male,English,97061565353
357,Jeffrey,Roy,Orunia,1971-01-21,Male,German,71012197981
359,Cory,Elliott,Stocznia,1973-10-19,Male,Polish,73101952483
361,Fernando,Schneider,Gdynia centrum,1992-01-27,Male,History,92012766791
365,Alicia,Massey,Wrzeszcz,1971-03-24,Female,Physics,71032415052
366,John,Smith,Stocznia,1983-04-05,Male,History,83040558983
367,Jessica,Robinson,Orlowo,1982-05-01,Female,Ethics,82050168596
368,Susan,Day,Gdynia centrum,1971-10-05,Female,Geography,71100526758
369,Timothy,Martinez,Gdansk centrum,1963-04-29,Male,Ethics,63042922531
371,Melanie,Brown,Lostowice,1991-01-10,Female,Music,91011022892
372,Sarah,Mueller,Redlowo,1965-06-07,Female,German,65060741632
374,Mark,Knapp,Zaspa,1991-03-23,Male,Philosophy,91032319909
375,Oscar,Austin,Przymorze,1984-04-14,Male,Philosophy,84041464515
376,Mark,Callahan,Jasien,1962-08-28,Male,Philosophy,62082889375
377,James,Evans,Jasien,1998-02-16,Male,Chemistry,98021666465
379,Kim,Wilcox,Wejherowo,1969-08-02,Female,German,69080208978
381,Erik,Cook,Stocznia,1987-03-22,Male,Mathematics,87032218251
382,Michele,Johnson,Redlowo,1989-03-02,Female,Mathematics,89030201816
383,Debbie,Espinoza,Reda,1971-01-04,Other,Philosophy,71010444348
384,Heather,Horne,Reda,1976-12-02,Female,English,76120253980
385,Lance,Castro,Redlowo,1997-07-05,Male,Mathematics,97070522747
387,Stacey,Salas,Gdansk centrum,1976-12-25,Other,Biology,76122510850
390,Tiffany,Mills,Orunia,1986-07-14,Other,Ethics,86071436030
392,Megan,Williams,Gdansk centrum,1990-12-01,Female,Economics,90120155868
394,Chloe,Friedman,Gdansk centrum,1966-11-13,Female,Geography,66111343612
396,Jackie,Gaines,Przymorze,1984-02-28,Female,Art,84022865044
397,Margaret,Klein,Jasien,1975-05-14,Female,Psychology,75051472976
398,Misty,Alexander,Lostowice,1972-01-09,Female,Economics,72010908400
399,Dylan,Daniel,Redlowo,1964-08-12,Male,Informatics,64081279105
